ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
138,biotechnology-applied-microbiology,409,University of Nebraska Lincoln,United States,Lincoln (U.S.),36.7,54.2,"25,055",https://www.usnews.com/education/best-global-universities/university-of-nebraska-lincoln-181464
139,biotechnology-applied-microbiology,109,Aarhus University,Denmark,Aarhus,36.5,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
140,biotechnology-applied-microbiology,108,University of Arizona,United States,Tucson,36.3,69.2,"39,797",https://www.usnews.com/education/best-global-universities/university-of-arizona-104179
141,biotechnology-applied-microbiology,202,Universidade de Lisboa,Portugal,Lisbon,36.1,62.9,"48,404",https://www.usnews.com/education/best-global-universities/universidade-de-lisboa-501120
142,biotechnology-applied-microbiology,127,Uppsala University,Sweden,Uppsala,36.1,67.8,N/A,https://www.usnews.com/education/best-global-universities/uppsala-university-501990
143,biotechnology-applied-microbiology,736,Nanjing Medical University,China,Gulou,36,44.7,"19,277",https://www.usnews.com/education/best-global-universities/nanjing-medical-university-500938
144,biotechnology-applied-microbiology,292,Yonsei University,South Korea,Seoul,36,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801
145,biotechnology-applied-microbiology,169,Delft University of Technology,Netherlands,Delft,35.9,65.1,N/A,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
146,biotechnology-applied-microbiology,199,RWTH Aachen University,Germany,Aachen,35.8,63,"39,738",https://www.usnews.com/education/best-global-universities/rwth-aachen-university-506441
147,biotechnology-applied-microbiology,667,Southwest University - China,China,Chongqing,35.8,46.5,N/A,https://www.usnews.com/education/best-global-universities/southwest-university-china-506024
148,biotechnology-applied-microbiology,385,Zhengzhou University,China,Zhengzhou,35.7,54.9,N/A,https://www.usnews.com/education/best-global-universities/zhengzhou-university-502623
149,biotechnology-applied-microbiology,356,Swedish University of Agricultural Sciences,Sweden,Uppsala,35.6,55.8,N/A,https://www.usnews.com/education/best-global-universities/swedish-university-of-agricultural-sciences-503091
150,biotechnology-applied-microbiology,405,Universidad Nacional Autonoma de Mexico,Mexico,Mexico City,35.6,54.3,"172,729",https://www.usnews.com/education/best-global-universities/universidad-nacional-autonoma-de-mexico-502101
151,biotechnology-applied-microbiology,329,University of Tehran,Iran,Tehran,35.6,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
