ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
55,endocrinology-metabolism,109,University of Geneva,Switzerland,Geneva,64.6,69.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-geneva-504635
56,endocrinology-metabolism,53,Chinese University of Hong Kong,Hong Kong,Shatin,64.5,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
57,endocrinology-metabolism,253,University of Miami,United States,Coral Gables,64.5,60.5,"17,047",https://www.usnews.com/education/best-global-universities/university-of-miami-135726
58,endocrinology-metabolism,186,Maastricht University,Netherlands,Maastricht,64.4,63.6,N/A,https://www.usnews.com/education/best-global-universities/maastricht-university-505759
59,endocrinology-metabolism,87,Free University of Berlin,Germany,Berlin,64.2,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084
60,endocrinology-metabolism,61,Humboldt University of Berlin,Germany,Berlin,64.2,74,"34,399",https://www.usnews.com/education/best-global-universities/humboldt-university-of-berlin-506698
61,endocrinology-metabolism,46,Icahn School of Medicine at Mount Sinai,United States,New York City,64.2,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
62,endocrinology-metabolism,54,McGill University,Canada,Montreal,64.2,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
63,endocrinology-metabolism,136,Baylor College of Medicine,United States,Houston,63.6,67.1,N/A,https://www.usnews.com/education/best-global-universities/baylor-college-of-medicine-223223
64,endocrinology-metabolism,72,Emory University,United States,Atlanta,63.6,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
65,endocrinology-metabolism,39,Peking University,China,Beijing,62.7,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
66,endocrinology-metabolism,333,Medical University of Graz,Austria,Graz,62.3,56.8,N/A,https://www.usnews.com/education/best-global-universities/medical-university-of-graz-501562
67,endocrinology-metabolism,24,Northwestern University,United States,Evanston,62.2,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
68,endocrinology-metabolism,138,McMaster University,Canada,Hamilton,62,67,N/A,https://www.usnews.com/education/best-global-universities/mcmaster-university-502196
